| STT | Tiếng Trung | Pinyin | Nghĩa Tiếng Việt |
| 1128 | 永遠 | yǒngyuǎn | Mãi Mãi, Vĩnh Viễn |
| 1129 | 油 | yóu | Dầu, Mỡ (Của Thực Vật Và Động Vật.) |
| 1130 | 右 | yòu | Bên Phải |
| 1131 | 又 | yòu | Lại, Vừa... Lại |
| 1132 | 有 | yǒu | Hữu, Có, Sở Hữu |
| 1133 | 有(的)時候 | yǒu(de) shíhòu | Có Đôi Khi |
| 1134 | 右邊 | yòubiān | Phải |
| 1135 | 有點（兒） | yǒudiăn（ ér） | Có Một Chút |
| 1136 | 郵件 | yóujiàn | Bưu Kiện |
| 1137 | 郵局 | Yóujú | Bưu Điện |
| 1138 | 有空(兒) | yǒukòng（ ér） | Có Thời Gian, Thời Gian Rảnh |
| 1139 | 郵票 | yóupiào | Con Tem |
| 1140 | 尤其 | Yóuqí | Nhất Là, Đặc Biệt Là, Càng |
| 1141 | 有趣 | Yǒuqù | Thú Vị, Hứng Thú, Lý Thú |
| 1142 | 遊戲 | yóuxì | Trò Chơi |
| 1143 | 有意思 | yǒuyìsi | Có Ý Nghĩa, Hứng Thú |
| 1144 | 游泳 | yóuyǒng | Bơi |
| 1145 | 有用 | yǒuyòng | Hữu Dụng |
| 1146 | 游泳池 | yóuyǒngchí | Hồ Bơi, Bể Bơi |
| 1147 | 魚 | Yú | Cá |
| 1148 | 雨 | Yǔ | Mưa |
| 1149 | 遇到 | yù dào | Gặp Được. Gặp Phải |
| 1150 | 元 | yuán | Đồng Tệ, Nguyên |
| 1151 | 圓 | yuán | Tròn, Hình Tròn |
| 1152 | 遠 | yuǎn | Viễn: Xa |
| 1153 | 院（子） | yuàn（ zi） | Viện, Học Viện |
| 1154 | 員工 | yuángōng | Nhân Viên, |
| 1155 | 原來 | yuánlái | Hóa Ra, Thành Ra, Thực Ra |
| 1156 | 願意 | yuànyì | Sẵn Sàng, Đồng Ý |
| 1157 | 原因 | yuányīn | Lý Do |
| 1158 | 圓桌 | yuánzhuō | Bàn Tròn |
| 1159 | 月 | yuè | Mặt Trăng, Tháng (Trong Năm) |
| 1160 | 越 | yuè | Việt, Đi Qua |
| 1161 | 約 | Yuē | Hẹn, Cuộc Hẹn |
| 1162 | 越來越 | yuè lái yuè | Ngày Càng Ngày |
| 1163 | 樂器 | yuè qì | Nhạc Cụ |
| 1164 | 閱讀 | yuèdú | Đọc Hiểu |
| 1165 | 語法 | yǔfǎ | Ngữ Pháp |
| 1166 | 愉快 | Yúkuài | Vui Sướng |
| 1167 | 雲 | yún | Đám Mây, Mây, Vân |
| 1168 | 運動 | yùndòng | Vận Động |
| 1169 | 雨傘 | yǔsǎn | Chiếc Ô |
| 1170 | 於是 | yúshì | Sau Đó |
| 1171 | 浴室 | yùshì | Phòng Tắm |
| 1172 | 雨天 | yŭtiān | Ngày Mưa |
| 1173 | 語言 | yŭyán | Ngôn Ngữ |
| 1174 | 再 | zài | Tái: Nữa, Lại |
| 1175 | 在 | zài | Tại, Tại Chức, Đang Giữ。 |
| 1176 | 再見 | zàijiàn | Tạm Biệt, Chào Tạm Biệt |
| 1177 | 髒 | zāng | Bẩn, Dơ |
| 1178 | 早 | zăo | Tảo: Sớm, Sáng Sớm, Sáng Tinh Mơ, Đầu, Trước |
| 1179 | 早餐 | zăocān | Bữa Ăn Sáng |
| 1180 | 早飯 | zăofàn | Bữa Ăn Sáng |
| 1181 | 早上 | zǎoshang | Buổi Sáng |
| 1182 | 雜誌 | zázhì | Tạp Chí |
| 1183 | 增加 | zēngjiā | Tăng |
| 1184 | 怎麼 | zěnme | Thế Nào, Sao, Làm Sao |
| 1185 | 怎麼辦 | zěnme bàn | Phải Làm Sao? |
| 1186 | 怎麼樣 | zěnmeyàng | Thế Nào, Ra Làm Sao |
| 1187 | 責任 | zérèn | Trách Nhiệm |
| 1188 | 炸雞 | zhájī | Món Gà Rán |
| 1189 | 站 | zhàn | Đứng |
| 1190 | 長 | Zháng | Trường: Dài |
| 1191 | 張 | zhāng | Trương, Họ Trương |
| 1192 | 張紙 | zhāng zhǐ | Tờ Giấy |
| 1193 | 照 | zhào | Chiếu, Chiếu Rọi, Chiếu Sáng, Chụp, Quay (Phim, Ảnh) |
| 1194 | 找 | Zhǎo | Tìm, Tìm Kiếm |
| 1195 | 找到 | zhăodào | Tìm Được |
| 1196 | 照顧 | zhàogù | Chăm Lo |
| 1197 | 著急 | zhāojí | Sốt Ruột, Lo Lắng, Cuống Cuồng |
| 1198 | 照片 | Zhàopiàn | Tấm Ảnh, Bức Ảnh, Tấm Hình |
| 1199 | 照相 | zhàoxiàng | Máy Ảnh, Chụp Ảnh |
| 1200 | 照相機 | zhàoxiàngjī | Máy Ảnh |
| 1201 | 著 | zhe | Đang, |
| 1202 | 這 | zhè | Đây, Này |
| 1203 | 這個 | zhè ge | Cái Này, Việc Này, Vật Này |
| 1204 | 這裡 | zhèlǐ | Ở Đây |
| 1205 | 這麼 | zhème | Như Thế, Như Vậy, Thế Này |
| 1206 | 真 | zhēn | Thực |
| 1207 | 真的 | zhēn de | Thực Sự |
| 1208 | 整天 | zhěng tiān | Cả Ngày, Toàn Bộ Một Ngày |
| 1209 | 整理 | zhěnglǐ | Ngăn Nắp, Chỉnh Lý |
| 1210 | 正在 | zhèngzài | Đang, Hiện Đang |
| 1211 | 這些 | zhèxiē | Những ... Này |
| 1212 | 這樣 | zhèyàng | Như Vậy, Như Thế, Thế Này |
| 1213 | 紙 | zhǐ | Giấy,Tờ, Trang |
| 1214 | 隻 | Zhǐ | Một, Con, Chỉ Số Lượng Con Vật |
| 1215 | 只 | zhǐ | Chỉ Một, Cái, Chiếc, Đôi, Cặp |
| 1216 | 枝 | zhī | Chi Nhánh, Cây, Cái (Dùng Cho Vật Có Hình Cán Dài) |
| 1217 | 知道 | zhī dào | Biết, Hiểu, Rõ |
| 1218 | 只好 | zhǐhăo | Đành Phải, Buộc Lòng Phải |
| 1219 | 之後 | zhīhòu | Sau Đó |
| 1220 | 智慧 | zhìhuì | Trí Tuệ, Trí Khôn, Thông Minh, Sáng Suốt |
| 1221 | 直接 | zhíjiē | Trực Tiếp |
| 1222 | 職業 | zhíyè | Nghề Nghiệp |
| 1223 | 只有 | Zhǐyǒu | Chỉ Có |
| 1224 | 重 | zhòng | Nặng, Trọng |
| 1225 | 種 | zhǒng | Loại, Chủng Loại |
| 1226 | 中國 | zhōngguó | Trung Quốc |
| 1227 | 中華 | zhōnghuá | Trung Hoa |
| 1228 | 中間 | Zhōngjiān | Ở Giữa, Trung Gian |
| 1229 | 重視 | zhòngshì | Chú Trọng |
| 1230 | 鐘頭 | zhōngtóu | Giờ Dong Ho |
| 1231 | 中文 | zhōngwén | Trung Văn, Tiếng Trung |
| 1232 | 中午 | zhōngwǔ | Buổi Trưa |
| 1233 | 中心 | zhōngxīn | Trung Tâm |
| 1234 | 重要 | zhòngyào | Quan Trọng |
| 1235 | 週末 | zhōumò | Ngày Cuối Tuần |
| 1236 | 祝 | zhù | Chúc, Cầu Chúc |
| 1237 | 住 | zhù | Ở, Cư Trú, Trọ |
| 1238 | 煮 | zhǔ | Nấu, Đun, Luộc |
| 1239 | 豬 | zhū | Con Lợn |
| 1240 | 煮菜 | zhǔ cài | Nấu Nướng |
| 1241 | 賺 | zhuàn | Kiếm Tiền |
| 1242 | 轉 | zhuǎn | Chuyển |
| 1243 | 裝 | zhuāng | Trang Điểm, Hoá Trang, Đóng Gói, Lắp Ráp, Lắp Đặt |
| 1244 | 追 | zhuī | Đuổi, Đuổi Bắt |
| 1245 | 準備 | Zhǔnbèi | Chuẩn Bị |
| 1246 | 準時 | zhǔnshí | Kịp Thời, Đúng Giờ |
| 1247 | 桌（子） | zhuō（ zi） | Bàn, Cái Bàn |
| 1248 | 豬肉 | Zhūròu | Thịt Lợn |
| 1249 | 注意 | zhùyì | Để Ý, Chú Ý |
| 1250 | 主軸 | zhǔzhóu | Trục Chính |
| 1251 | 字 | zì | Tự, Từ, Chữ, Chữ Viết, Văn Tự |
| 1252 | 字典 | zìdiǎn | Từ Điển |
| 1253 | 自己 | zìjǐ | Tự Mình |
| 1254 | 自然 | Zìrán | Tự Nhiên |
| 1255 | 自由 | zìyóu | Tự Do |
| 1256 | 總 | zǒng | Tổng, Toàn Bộ, Toàn Diện |
| 1257 | 總共 | zǒnggòng | Tổng Cộng |
| 1258 | 總是 | zǒngshì | Luôn Luôn, Lúc Nào Cũng, Bao Giờ Cũng |
| 1259 | 總統 | zǒngtǒng | Tổng Thống |
| 1260 | 走 | zǒu | Đi Bộ |
| 1261 | 走路 | zǒulù | Đi, Đi Đường, Đi Bộ |
| 1262 | 租 | zū | Thuê |
| 1263 | 最 | zuì | Nhất, Đứng Đầu, Nhất |
| 1264 | 嘴巴 | zuǐbā | Miệng, Mồm |
| 1265 | 最近 | zuìjìn | Gần Đây, Mới Đây, Vừa Qua |
| 1266 | 尊敬 | zūnjìng | Sự Tôn Trọng |
| 1267 | 坐 | zuò | Ngồi |
| 1268 | 做 | zuò | Làm |
| 1269 | 座 | Zuò | Chỗ Ngồi, |
| 1270 | 左 | zuǒ | Tả: Bên Trái |
| 1271 | 做菜 | zuò cài | Nấu Ăn |
| 1272 | 左(邊) | zuǒ（ biān） | Bên Trái |
| 1273 | 昨天 | zuótiān | Hôm Qua |
| 1274 | 做完 | zuòwán | Làm Xong |
| 1275 | 作業 | zuòyè | Bài Tập |
| 1276 | 足球 | Zúqiú | Bóng Đá |
| 1277 | 哎 | āi | ôi; chao ôi; ơ kìa; trời ơi (tỏ ý không hài lòng) |
| 1278 | 按 | àn | dựa theo, ấn, bấm; đè; nhấn; đóng |
| 1279 | 昂貴 | ángguì | đắt tiền; mắc mỏ; đắt đỏ |
| 1280 | 按照 | ànzhào | dựa theo |
| 1281 | 罷 | bà | đình lại; ngừng; dừng; thôi |
| 1282 | 罷工 | bàgōng | bãi công; đình công |
| 1283 | 白 | bái | Bạch: Màu trắng |
| 1284 | 白菜 | báicài | Rau cải trắng, bắp cải trắng |
| 1285 | 擺動 | bǎidòng | đong đưa, lắc lư |
| 1286 | 白天 | báitiān | ban ngày |
| 1287 | 擺脫 | bǎituō | thoát khỏi |
| 1288 | 扮 | bàn | hoá trang sắm vai; đóng vai |
| 1289 | 榜樣 | bǎngyàng | tấm gương; gương tốt; kiểu mẫu; mô hình |
| 1290 | 半天 | bàntiān | nửa ngày; buổ; lâu; cả buổi |
| 1291 | 扮演 | bànyǎn | sắm vai; đóng vai |
| 1292 | 報案 | bàoàn | báo án |
| 1293 | 寶寶 | bǎobǎo | Đứa bé, bảo bảo, bảo bối |
| 1294 | 保持 | bǎochí | gìn giữ; giữ; duy trì; giữ nguyên |
| 1295 | 保存 | bǎocún | bảo tồn; giữ gìn; bảo vệ; lưu giữ |
| 1296 | 報答 | bàodá | báo đáp |
| 1297 | 報到 | bàodào | đăng ký |
| 1298 | 報導 | bàodǎo | báo cáo |
| 1299 | 寶貴 | bǎoguì | quý giá; quý báu |
| 1300 | 包裹 | bāoguǒ | đóng gói |
| 1301 | 包括 | bāokuò | bao gồm |
| 1302 | 報社 | bàoshè | văn phòng báo chí |
| 1303 | 寶石 | bǎoshí | đá quý |
| 1304 | 抱怨 | bàoyuàn | oán hận; oán giận; oán trách; than phiền |
| 1305 | 保障 | bǎozhàng | Cam đoan |
| 1306 | 巴士 | bāshì | xe buýt; ô-tô buýt; bus |
| 1307 | 背 | bèi | Lưng; gánh vác; đảm nhiệm |
| 1308 | 悲哀 | bēiāi | nỗi buồn; bi ai |
| 1309 | 背後 | bèihòu | phía sau |
| 1310 | 背誦 | bèisòng | đọc thuộc lòng |
| 1311 | 悲痛 | bēitòng | đau buồn; bi thương; thống khổ |
| 1312 | 笨 | bèn | đần; đần độn; ngốc; ngốc nghếch |
| 1313 | 奔 | bēn | Bôn; chạy; bôn tẩu; chạy nhanh |
| 1314 | 笨傢伙 | bènjiàhuo | người đần; tên ngốc |
| 1315 | 笨人 | bènrén | người ngu; người xuẩn ngốc |
| 1316 | 變成 | biàn chéng | trở nên |
| 1317 | 變革 | biàngé | thay đổi; biến cách; biến đổi; thay đổi |
| 1318 | 變化 | Biànhuà | biến hóa, thay đổi |
| 1319 | 便利 | biànlì | tiện lợi; thuận tiện; tiện |
| 1320 | 變遷 | biànqiān | dời đổi; đổi dời; biến dời |
| 1321 | 編寫 | biānxiě | biên soạn; viết; soạn; sáng tác |
| 1322 | 標籤 | biāoqiān | nhãn; nhãn hiệu |
| 1323 | 表情 | biǎoqíng | sự biểu lộ |
| 1324 | 飆升 | biāoshēng | bay lên |
| 1325 | 表示 | biǎoshì | biểu hiện |
| 1326 | 表現 | biǎoxiàn | Biểu hiện |
| 1327 | 表揚 | biǎoyáng | biểu dương |
| 1328 | 彼此 | bǐcǐ | cũng vậy; cũng thế |
| 1329 | 畢竟 | Bìjìng | rốt cuộc; cuối cùng; suy cho cùng |
| 1330 | 比例 | bǐlì | Tỷ lệ |
| 1331 | 賓 | bīn | khách mời |
| 1332 | 餅 | bǐng | bánh, đĩa: vật tròn như cái bánh |
| 1333 | 冰 | bīng | băng; nước đá; đá |
| 1334 | 病患 | bìng huàn | bệnh hoạn |
| 1335 | 秉持 | bǐngchí | lo liệu; sắm sửa |
| 1336 | 病毒 | bìngdú | Vi-rút |
| 1337 | 冰塊 | bīngkuài | Cục đá (nước) |
| 1338 | 比如 | bǐrú | Ví dụ |
| 1339 | 筆試 | bǐshì | thi viết |
| 1340 | 逼真 | bīzhēn | rất giống; y như thật; giống y như thật; |
| 1341 | 波動 | bōdòng | dao động |
| 1342 | 播放 | bòfàng | truyền; phát; đưa tin |
| 1343 | 玻璃 | bōlí | Thủy tinh |
| 1344 | 博士 | bóshì | tiến sĩ |
| 1345 | 布 | bù | Bố: họ bố; vải bố |
| 1346 | 部 | bù | Bộ: phần, bộ phận |
| 1347 | 不得了 | bùdéliăo | Quá, quá sức; nguy khủng khiếp |
| 1348 | 不見 | bújiàn | Không gặp, không thatá |
| 1349 | 不久 | bùjiŭ | Không lâu sau; ngay sau đó |
| 1350 | 補救 | bǔjiù | bổ cứu, biện pháp khắc phục |
| 1351 | 不可 | bùkě | Bất khả; không thể |
| 1352 | 不少 | bùshăo | không ít, không thiếu |
| 1353 | 不行 | bùxíng | không được, không thể |
| 1354 | 不要 | búyào | không cần; không phải |
| 1355 | 不要緊 | búyàojǐn | không cần vội |
| 1356 | 不止 | bùzhǐ | không dứt; không ngớt; không thôi |
| 1357 | 步驟 | Bùzhòu | bước; bước đi; trình tự |
| 1358 | 捕捉 | bǔzhuō | chiếm lấy |
| 1359 | 擦藥 | cā yào | xoa thuốc |
| 1360 | 財產 | cáichǎn | tài sản |
| 1361 | 財富 | cáifù | sự giàu có, tài phúc |
| 1362 | 材料 | Cáiliào | Vật liệu, tư liệu, tài liệu |
| 1363 | 蔡倫 | càilún | Thái Luân (tên người) |
| 1364 | 財團 | cáituán | tập đoàn |
| 1365 | 採用 | cǎiyòng | sử dụng |
| 1366 | 草原 | cǎoyuán | thảo nguyên |
| 1367 | 嘈雜 | cáozá | ồn ào |
| 1368 | 操作 | cāozuò | vận hành, thao tác |
| 1369 | 策略 | cèlüè | Chiến lược, sách lược |
| 1370 | 層 | céng | lớp, tầng |
| 1371 | 廁所 | cèsuǒ |
| 1372 | 查 | chá | kiểm tra; xét |
| 1373 | 差 | chà | khác nhau; chênh lệch; sai biệt; sai khác; khác biệt |
| 1374 | 茶壺 | cháhú | ấm trà |
| 1375 | 唱 | chàng | Xướng: hát; ca; hát ca; xướng |
| 1376 | 長度 | chángdù | chiều dài |
| 1377 | 猖獗 | chāngjué | hung hăng, ngang ngược |
| 1378 | 廠商 | chǎngshāng | Nhà sản xuất ; xưởng |
| 1379 | 暢銷 | chàngxiāo | người bán hàng giỏi nhất |
| 1380 | 產品 | chǎnpǐn | sản phẩm |
| 1381 | 產生 | chǎnshēng | sản xuất, sản sinh |
| 1382 | 產業 | chǎnyè | của cải; tài sản tư hữu |
| 1383 | 炒蛋 | chǎo dàn | trứng bác |
| 1384 | 吵架 | chǎojià | cãi vã; tranh cãi; cãi nhau |
| 1385 | 潮濕 | cháoshī | ẩm ướt |
| 1386 | 差異 | chāyì | sai biệt; khác biệt; sai khác; khác nhau |
| 1387 | 叉子 | chāzi | cái nĩa; cái xiên |
| 1388 | 車 | chē | Xa: xe; họ Xa |
| 1389 | 澈底 | Chèdǐ | triệt để |
| 1390 | 沉默 | chén mò | im lặng, lặng im; lặng lẽ。 |
| 1391 | 成 | chéng | trở nên, thành |
| 1392 | 乘巴士 | chéng bāshì | xe buýt |
| 1393 | 稱霸 | chēngbà | thống trị; xưng bá |
| 1394 | 城堡 | chéngbǎo | lâu đài ;thành nhỏ; thành luỹ; pháo đài |
| 1395 | 誠實 | chéngshí | thành thật |
| 1396 | 城市 | chéngshì | Thành thị |
| 1397 | 呈現 | chéngxiàn | lộ ra, phơi bày |
| 1398 | 撐著 | chēngzhe | giữ vững |
| 1399 | 陳列 | chénliè | trưng bày, triển lãm |
| 1400 | 陳述 | chénshù | trần thuật; tuyên bố |
| 1401 | 沉思 | chénsī | trầm tư |
| 1402 | 尺 | chǐ | xích; thước Trung Quốc; thước vẽ |
| 1403 | 吃醋 | chīcù | ghen; nổi máu ghen; nổi máu Hoạn thư; ghen tị |
| 1404 | 吃虧 | chīkuī | chịu đựng; chịu thiệt |
| 1405 | 蟲 | chóng | côn trùng |
| 1406 | 沖 | chōng | xung; đập; va đập; chống đối; bẻ gẫy |
| 1407 | 崇拜 | chóngbài | tôn thờ |
| 1408 | 重複 | chóngfù | lặp lại |
| 1409 | 充飢 | chōngjī | xoa dịu cơn đói |
| 1410 | 充滿 | chōngmǎn | đầy, chan chứa; tràn đầy; tràn trề |
| 1411 | 衝突 | chōngtú | xung đột |
| 1412 | 臭 | chòu | Hôi; thối; khắm; ôi (mùi); |
| 1413 | 抽 | chōu | rút; hút; rút ra; lấy ra; chiết xuất |
| 1414 | 抽菸 | chōuyān | hút thuốc |
| 1415 | 處 | chù | phòng, ban |
| 1416 | 出差 | chū chāi | đi công tác |
| 1417 | 傳達 | chuándá | truyền đạt |
| 1418 | 傳單 | chuándān | tờ rơi |
| 1419 | 傳遞 | chuándì | chuyển khoản |
| 1420 | 窗 | chuāng | Cửa sổ |
| 1421 | 創辦 | chuàngbàn | thành lập; sáng lập |
| 1422 | 創辦人 | chuàngbàn rén | người sáng lập |
| 1423 | 創新 | chuàngxīn | đổi mới, cách tân |
| 1424 | 創造 | chuàngzào | sáng tạo, tạo nên |
| 1425 | 傳染 | chuánrǎn | lây nhiễm |
| 1426 | 儲存 | Chúcún | trữ, dự trữ; lưu lại |
| 1427 | 垂涎 | chuíxián | chảy nước miếng |
| 1428 | 除了 | chúle | Ngoại trừ |
| 1429 | 春 | chūn | Xuân; mùa Xuân |
| 1430 | 春秋戰國 | chūnqiū zhànguó | Xuân Thu Chiến Quốc |
| 1431 | 廚師 | chúshī | đầu bếp |
| 1432 | 出席 | chūxí | Tham gia, dự họp; tham dự hội nghị; có mặt |
| 1433 | 詞 | cí | Từ; lời |
| 1434 | 刺激 | cìjī | Kích thích; cổ vũ; khích lệ; khuyến khích |
| 1435 | 詞句 | cíjù | câu từ |
| 1436 | 次數 | cìshù | số lần |
| 1437 | 辭職 | cízhí | Từ chức, từ bỏ |
| 1438 | 從來 | cónglái | Từ trước đến nay; luôn luôn; chưa hề |
| 1439 | 醋 | cù | giấm; tính a-xít; độ a-xít; vị chua |
| 1440 | 存亡 | cúnwáng | tồn vong |
| 1441 | 存在 | cúnzài | còn; có thật; thực sự; đã sống, tồn tại |
| 1442 | 措施 | cuòshī | biện pháp; phương sách; cách xử trí; cách tiến hành |
| 1443 | 錯誤 | cuòwù | lệch lạc; sai lầm |
| 1444 | 挫折 | cuòzhé | ngăn trở; chèn ép; cản trở; làm thất bại; làm hỏng |
| 1445 | 搭船 | dā chuán | đi thuyền |
| 1446 | 大都市 | Dà dūshì | đại đô thị |
| 1447 | 大部分 | dàbùfèn | Đại bộ phận |
| 1448 | 達成 | dáchéng | đạt được |
| 1449 | 大抵 | dàdǐ | nói chung; đại để; đại thể; đại khái |
| 1450 | 待 | dài | đối xử |
| 1451 | 代表 | dàibiǎo | đại diện, đại biểu |
| 1452 | 貸款 | dàikuǎn | khoản vay; cho vay |
| 1453 | 帶領 | dàilǐng | dẫn dắt, dìu dắt, lãnh đạo |
| 1454 | 打擊 | dǎjí | đánh |
| 1455 | 大樓 | dàlóu | Đại lầu; nhà lớn |
| 1456 | 大陸 | dàlù | đại lục |
| 1457 | 淡 | dàn | Đạm: nhạt; loãng; mỏng; thưa |
| 1458 | 彈 | dàn | bom, đạn |
| 1459 | 檔案 | dǎng àn | hồ sơ; tài liệu |
| 1460 | 擔任 | dānrèn | đảm nhiệm, đảm đương; giữ (chức vụ) |
| 1461 | 單身 | dānshēn | đơn thân; độc thân |
| 1462 | 誕生 | dànshēng | sự ra đời |
| 1463 | 刀 | dāo | Đao; con dao |
| 1464 | 導演 | dǎoyǎn | đạo diễn |
| 1465 | 導致 | dǎozhì | dẫn đến; gây ra; đưa tới; làm cho |
| 1466 | 刀子 | dāozi | Con đao; con dao; dao nhỏ |
| 1467 | 大人 | dàrén | Đại nhân |
| 1468 | 答應 | dāyìng | đáp lại; trả lời |
| 1469 | 打仗 | dǎzhàng | đánh trận; đánh nhau; tác chiến; đánh giặc |
| 1470 | 打折 | Dǎzhé | Giảm giá |
| 1471 | 大眾 | dàzhòng | đại chúng |
| 1472 | 得很 | dehěn | hết sức |
| 1473 | 的話 | dehuà | nếu như |
| 1474 | 登場 | dēng chǎng | ra mắt |
| 1475 | 登出 | dēng chū | Đăng xuất |
| 1476 | 得以 | déyǐ | có thể; được |
| 1477 | 德語 | Déyǔ | tiếng Đức |
| 1478 | 電車 | diànchē | Xe điện |
| 1479 | 電磁輻射 | diàncí fúshè | Bức xạ điện từ |
| 1480 | 典型 | diǎnxíng | điển hình; nhân vật điển hình |
| 1481 | 調 | diào | điều chỉnh |
| 1482 | 頂尖 | dǐngjiān | đỉnh cao |
| 1483 | 定義 | dìngyì | định nghĩa |
| 1484 | 地球 | dìqiú | Trái đất |
| 1485 | 地球日 | dìqiú rì | ngày trái đất |
| 1486 | 地區 | dìqū | khu vực |
| 1487 | 地位 | dìwèi | địa vị |
| 1488 | 地下 | dìxià | ngầm; trong lòng đất; dưới đất |
| 1489 | 地址 | dìzhǐ | Địa chỉ |
| 1490 | 冬 | dōng | Họ đông: mùa đông; đông |
| 1491 | 動機 | dòngjī | động lực; động cơ |
| 1492 | 動向 | dòngxiàng | xu hướng |
| 1493 | 動作 | dòngzuò | hoạt động, động tác |
| 1494 | 鬥士 | dòushì | đấu sĩ |
| 1495 | 度 | dù | Độ: trình độ, đo lường (độ dài) |
| 1496 | 斷腸 | duàncháng | đau lòng, đứt ruột |
| 1497 | 賭博 | dǔbó | đánh bạc |
| 1498 | 獨處 | dúchǔ | sống một mình, sống cô độc |
| 1499 | 隊 | duì | Đội |
| 1500 | 對策 | duìcè | đối sách |
| 1501 | 兌換 | duìhuàn | đổi, hoán đổi |
| 1502 | 對象 | duìxiàng | đối tượng |
| 1503 | 頓 | dùn | bữa (cơm) |
| 1504 | 多元化 | duōyuán huà | đa dạng hóa |
| 1505 | 毒藥 | dúyào | thuốc độc |
| 1506 | 獨自 | dúzì | một mình; tự mình |
| 1507 | 惡化 | èhuà | chuyển biến xấu; trầm trọng |
| 1508 | 嗯 | ēn | ừ, ờ này; hở; hử; sao; hả |
| 1509 | 而趨 | ér qū | có xu hướng, khuynh hướng |
| 1510 | 兒童 | értóng | Nhi đồng; trẻ em |
| 1511 | 扼腕 | èwàn | bóp cổ tay; nắm cổ tay |
| 1512 | 發表 | fābiǎo | được phát hành, đăng bài |
| 1513 | 發布 | fābù | công bố |
| 1514 | 發電 | fādiàn | phát điện |
| 1515 | 發揮 | fāhuī | phát huy |
| 1516 | 發明 | fāmíng | phát minh |
| 1517 | 範疇 | fànchóu | phạm trù |
| 1518 | 反覆 | fǎnfù | thay đổi, thay thế |
| 1519 | 放煙火 | fàng yānhuǒ | bắn pháo hoa |
| 1520 | 方案 | fāngàn | kế hoạch |
| 1521 | 防備 | fángbèi | đề phòng |
| 1522 | 房東 | fángdōng | địa chủ, chủ nhà |
| 1523 | 防洪 | fánghóng | kiểm soát lũ, phòng lũ |
| 1524 | 放棄 | fàngqì | vứt bỏ; bỏ cuộc; bỏ đi |
| 1525 | 放鬆 | fàngsōng | Thư giãn, thả lỏng |
| 1526 | 反觀 | fǎnguān | Mặt khác |
| 1527 | 犯規 | fànguī | phạm quy; phạm quy định; phạm nội quy; phạm luật |
| 1528 | 訪問 | făngwèn | Phỏng vấn; thăm viếng |
| 1529 | 防止 | fángzhǐ | ngăn chặn |
| 1530 | 房租 | fángzū | tiền thuê nhà |
| 1531 | 販賣 | fànmài | buôn bán, bán hàng |
| 1532 | 繁榮 | fánróng | phồn vinh |
| 1533 | 範圍 | fànwéi | phạm vi |
| 1534 | 反應 | fǎnyìng | phản ứng |
| 1535 | 犯罪 | fànzuì | tội phạm |
| 1536 | 發燒 | fāshāo | Phát sốt; sốt |
| 1537 | 髮型 | fǎxíng | kiểu tóc |
| 1538 | 發音 | fāyīn | phát âm |
| 1539 | 發育 | fāyù | phát triển |
| 1540 | 肥胖 | féipàng | béo phì |
| 1541 | 廢氣 | fèiqì | khí thải |
| 1542 | 費用 | fèiyòng | Phí tổ chi phí' chi tiêu |
| 1543 | 份 | fèn | phần; phận |
| 1544 | 奮 | fèn | phấn chấn, phấn khởi |
| 1545 | 粉墨 | fěn mò | phấn son; hoá trang; trang điểm |
| 1546 | 奮鬥 | fèndòu | phấn đấu. Cố gắng |
| 1547 | 紛紛 | fēnfēn | nhộn nhịp, sôi nổi |
| 1548 | 諷刺 | fèngcì | châm biếm |
| 1549 | 豐富 | fēngfù | Giàu có, phong phú |
| 1550 | 風格 | fēnggé | phong cách |
| 1551 | 蜂蜜 | fēngmì | mật; mật ong |
| 1552 | 分居 | fēnjū | ở riêng; ra riêng; sống riêng |
| 1553 | 芬蘭 | Fēnlán | Phần Lan |
| 1554 | 分類 | fēnlèi | phân loại |
| 1555 | 憤怒 | fènnù | sự tức giận |
| 1556 | 分享 | fēnxiǎng | chia sẻ |
| 1557 | 否則 | fǒuzé | nếu không thì |
| 1558 | 幅 | fú | biên độ; độ rộng |
| 1559 | 幅調 | fú diào | điều chỉnh biện độn |
| 1560 | 腐壞 | fǔ huài | hư hỏng |
| 1561 | 付替 | fù tì | thay thế |
| 1562 | 付出 | fùchū | chi trả |
| 1563 | 負擔 | fùdān | gánh nặng, gánh vác; đảm nhiệm; đài thọ |
| 1564 | 輔導 | fǔdǎo | tư vấn; phụ đạo |
| 1565 | 夫婦 | Fūfù | cặp vợ chồng |
| 1566 | 負面 | fùmiàn | mặt trái; mặt xấu; tiêu cực。 |
| 1567 | 婦女 | fùnǚ | phụ nữ |
| 1568 | 夫妻 | fūqī | vợ chồng, phu thê |
| 1569 | 輻射 | fúshè | sự bức xạ |
| 1570 | 複習 | fùxí | Ôn tập. Ôn bài |
| 1571 | 富有 | Fùyǒu | giàu có; nhiều của cải |
| 1572 | 富裕 | fùyù | giàu có; dồi dào; sung túc |
| 1573 | 複雜 | fùzá | phức tạp |
| 1574 | 複製 | fùzhì | sao chép |
| 1575 | 父子 | fùzǐ | phụ tử |
| 1576 | 該 | gāi | nên; cần phải; cần |
| 1577 | 概念 | Gàiniàn | khái niệm |
| 1578 | 乾女 | gàn nǚ | con nuôi |
| 1579 | 感動 | gǎndòng | cảm động |
